0-BDX,zhijiejiahe-BDX-NFP
-1.675623977,-5093.559955
-6.535969404,-5096.875401
-9.761712912,-5684.307438
-11.35278426,-7052.948717
-11.30908633,-8133.67582
-9.630495472,-7405.100135
-2.836368008,-4636.5871
-0.497886343,-1215.115771
0.865644263,1096.903815
-0.185056683,1477.570014
0.308902667,553.1586128
0.908289574,-171.4193274
2.645499121,188.7695033
2.682578185,940.6788469
2.051965403,869.8813326
-2.941781243,27.56589415
-2.134824789,-394.3509182
0.777431302,179.4041092
10.42305825,1107.525339
14.07644051,1722.94954
16.36568216,2101.635136
16.87347008,2443.553064
16.74917165,2593.601508
15.57550033,2500.519516
10.83493431,2454.72789
9.452554869,2577.430741
8.91086005,2632.909767
12.92050423,2518.124335
11.27918582,2330.080279
7.697572023,1809.306597
-2.652924625,494.7994787
-6.491628915,-1239.191169
-8.647122698,-2150.930103
-9.046258447,-1773.233627
-7.888111075,-1351.132822
-5.099534692,-2215.727302
5.956564591,-3731.093459
7.030239833,-4050.398177
4.758576159,-2787.508724
-9.610977057,-1568.26736
-12.00690362,-1487.071474
-11.1817698,-1300.93851
-1.405682176,802.9287846
1.566056944,4456.394603
3.463318866,7377.952698
3.080159846,7995.712223
3.734696659,6668.058789
4.220957504,4667.124817
5.173942833,3122.463098
4.849007195,2560.541562
3.881117673,2387.966098
-1.169344435,1524.671007
-0.842016453,477.2109422
1.423444976,1328.371583
9.796252135,4455.44724
12.8122634,7158.837522
14.64064938,7037.461221
15.15426274,4839.131171
14.7037119,2669.529321
13.161805,1403.655744
8.710957023,1108.467159
6.350226537,1962.083468
4.261982103,3344.112689
4.103136685,3678.345087
1.317616653,2341.424408
-2.437712354,290.7084371
-10.31983557,-1766.743295
-13.64687299,-3923.047939
-15.57585709,-5432.605734
-14.95915239,-5016.066757
-14.95285031,-3334.984404
-14.40936152,-2524.216329
-13.16827982,-2865.119793
-11.67107311,-2823.255494
-9.75737929,-2555.955705
-6.911795908,-3851.443727
-4.552274693,-5998.37994
-2.163454334,-5454.358947
2.209019153,-953.2524436
3.189851105,4180.254346
2.733358175,6248.724092
-1.190358086,5106.290309
-3.000101801,2676.609518
-4.725804165,215.3117962
-7.444325058,-1455.258959
-8.195501534,-1400.694195
-8.056220966,-54.51675267
-8.013012687,628.1879312
-5.354269223,-4.91747189
-1.066541587,-227.3770963
9.17274571,988.3421242
13.4750488,2156.99941
16.16292774,2158.4384
17.48189948,2251.490341
16.75525373,3198.259956
14.22849857,3325.803281
5.818250429,1905.455469
2.752235214,1366.810703
0.947067219,3295.115708
3.689731738,5141.550891
1.939438041,3796.991389
-1.016823946,-110.0667658
-8.106381296,-3889.774544
-11.28063006,-6316.591455
-13.46688601,-7408.384513
-16.1964083,-7004.655653
-15.25970698,-5671.886375
-12.1880235,-5181.842284
-0.535798801,-6061.926516
1.970315351,-6327.380973
1.775901738,-4822.395988
-6.046283077,-3933.333582
-7.947542419,-5922.774793
-8.855090483,-8263.020069
-8.48180458,-6575.27774
-7.618323104,-1100.33235
-5.977489218,3952.218002
-0.980769885,6442.430352
0.280016409,7243.438386
0.383441032,6472.687172
-2.367953962,3707.995795
-3.306791094,717.1705363
-4.130486603,-749.6364649
-7.772978394,-2099.934074
-6.166330588,-4395.059233
-2.244436882,-4690.586401
9.462782203,-849.3329631
13.91246598,3403.933248
16.57473971,3489.929895
17.94938138,679.5262472
16.6621181,-1028.778927
13.21277423,-1087.562379
1.190580029,-929.8801509
-1.774470427,-66.85218425
-2.093100875,2057.776648
6.503000033,3521.333326
6.776610573,2523.839265
4.996086763,-212.376904
-2.684267631,-3324.490257
-5.687905196,-6109.180557
-7.86047978,-7473.96313
-8.666884034,-6821.121525
-9.577546264,-5687.049017
-10.05731992,-5542.422847
-11.58141017,-5326.267019
-10.09167089,-4132.431928
-7.063272064,-4012.003145
0.822213015,-6562.473718
4.440634101,-9035.793695
7.110448322,-7548.868127
8.509139042,-2430.425525
9.525313713,2671.904378
9.836480693,5324.052581
8.567566787,5491.866652
8.126842162,4087.76274
7.639252648,2508.264207
8.539381645,1837.231903
6.884041641,1143.126454
4.107828671,-1081.433344
-5.881570144,-3153.828022
-6.328315992,-1594.642012
-3.324715797,2917.744014
8.700628498,5865.51009
14.42837434,6378.284367
19.42991892,8274.696756
28.81641034,11550.28844
28.53417861,10382.87235
23.69436412,3838.26886
3.632793066,781.9390378
-2.322122425,7411.690505
-4.834570595,16267.29965
3.764090967,15827.11872
2.386939201,6575.177422
-1.297404366,-1191.230955
-13.05736723,-2763.119336
-17.02805652,-3019.351833
-18.97792667,-5556.449862
-17.98557044,-6908.380573
-16.58330007,-4105.225783
-13.84974077,-815.7049652
-6.062547576,-1550.289173
-3.456801201,-4427.687546
-2.310193991,-4639.81666
-5.006610868,-2168.825227
-4.989216415,-785.0447654
-4.641936983,-958.0913254
-3.501806934,534.1265362
-2.841067934,4069.163153
-2.196799055,5951.32027
-0.805855466,4662.52674
-0.766226828,2897.604808
-1.314815389,2037.300583
-3.621880692,239.6644613
-4.468817556,-2434.211837
-5.025934009,-3119.655629
-7.904550151,-1979.625498
-5.923417944,-2300.540593
-1.693906386,-3582.815558
9.867405969,-2111.130196
14.78095336,1183.797279
18.13010895,2215.161155
21.98291341,2058.477568
20.65182835,3643.70845
16.20484776,3638.472455
0.836362616,-399.1493093
-3.988888058,-1298.097756
-6.076557411,5443.696541
1.081260408,10121.61655
-0.41310494,4394.581211
-4.051788218,-3823.00548
-16.16052371,-5484.075602
-19.34469384,-5306.877194
-19.93006916,-8097.711434
-15.68836299,-7867.180705
-12.7487121,-2935.598811
-8.882860933,-2482.592201
1.104345494,-7321.602013
2.924715694,-5342.970513
1.773379373,4434.078125
-9.506643605,6249.956698
-11.23530635,-4582.928475
-10.5696079,-11525.99629
-2.654209396,-3998.976582
-0.843037868,7154.169428
-0.280766543,10074.95718
-3.311579112,7820.854134
-3.490773466,6530.274496
-3.162538277,5098.4218
-0.59600117,2400.830136
-0.552881832,1089.805908
-1.302305609,1367.443179
-7.523765258,1026.993653
-6.350453071,974.1657936
-2.46185226,2983.102575
10.66404201,4785.513879
15.08998307,3795.15247
17.33799243,2521.724253
17.01158312,4137.246463
15.1994646,5398.383394
11.50517341,1644.305168
-0.168481247,-2968.595113
-3.055712777,-478.1966642
-3.253682076,6580.122285
5.999725669,8027.148083
6.107383424,2088.339671
3.831441743,-3891.53969
-6.438275291,-6536.923743
-9.274886506,-8739.773047
-10.28852693,-11468.98304
-7.040421098,-12188.88251
-6.238067561,-9890.014243
-5.442645614,-6881.002479
-4.221236928,-5912.989671
-3.764973143,-6678.155256
-3.640887221,-6210.640513
-6.565616706,-3877.90165
-5.068736669,-2894.810298
-1.866833448,-4153.33468
7.302298091,-3549.854702
10.71755601,764.9643035
12.64119812,4754.975565
12.4253853,5850.872427
11.8519346,6346.512122
10.27305997,6417.244139
4.919520344,3023.786329
3.407286145,-1835.658983
2.967168719,-2568.879722
4.056178099,-994.2275577
5.418386887,-3546.426751
7.510855795,-7650.302196
12.13783075,-4929.012868
14.33876707,3450.073779
15.91795859,8898.612485
19.77108021,8959.153507
17.93642184,5701.404755
13.30970253,-1472.978611
-2.541239003,-9486.411367
-6.426321666,-8976.26457
-6.777667318,1580.475859
5.453608206,10299.90947
5.384925015,8011.596499
2.065201135,-127.5587007
-12.96823495,-4881.59448
-16.44100336,-6128.512884
-16.81574803,-8363.034987
-9.962014389,-9734.977404
-7.236373939,-7039.400529
-4.50835142,-5680.22452
0.638956706,-9194.58114
1.561350145,-7525.707519
0.675745729,5122.714666
-6.666613986,13812.38509
-7.679297814,5742.095102
-7.011057624,-6444.989269
-1.133854341,-5301.229897
0.252572831,4609.138032
0.676260633,9361.143414
-2.333275863,8469.478452
-1.979859397,8708.542107
-0.733985171,9498.216369
4.066684017,7458.252172
5.102995481,4241.661401
5.037268333,1892.27767
0.278477396,-29.95270647
0.704103811,-156.0435663
2.723096772,2942.37033
10.71821801,6339.26227
12.63888012,7806.23007
12.86781208,10444.09902
11.29686066,15355.14308
8.225260855,16162.4167
3.544820143,8406.29343
-8.303045542,-1125.238215
-12.03064608,-2760.483123
-13.19661064,2083.530784
-6.141814533,3945.824583
-6.427528088,-268.7781586
-8.394676741,-5039.538729
-16.02470592,-6741.198611
-18.36760637,-7510.485602
-19.40487779,-9111.630519
-17.42175151,-10157.76052
-17.13311697,-9775.933967
-16.82426286,-9358.467786
