A60,P601,P602,P603,P604,P605,P606,P607,P608
206.5459259,205.11911,201.26056,201.32013,199.17622,203.21153,198.93869,195.1228983,197.5071596
210.2414815,210.73676,207.92276,211.57057,208.19156,208.55482,208.42242,202.587349,197.8583129
212.4525926,213.13177,213.57693,213.11722,211.31084,206.63348,208.77527,204.3745973,198.2094662
212.531358,210.95026,209.29105,215.99423,211.39523,215.89853,208.41948,201.8853508,198.5606195
212.2595062,211.79185,213.31151,215.9769,211.50235,209.93825,208.55135,200.4228741,198.9117727
210.9891358,210.27129,213.6218,211.2618,208.88123,210.20563,208.1335,199.8468009,199.262926
205.9508642,207.28885,210.37692,207.16788,207.8941,208.27815,207.21268,200.2636344,199.6140793
204.7604938,203.7212165,203.40396,201.2172,201.99814,205.37549,200.07657,197.0555736,199.9652326
204.648642,202.15878,201.06534,203.76862,202.38434,208.93079,203.54437,197.0027707,200.3163859
206.0720988,207.27356,207.88696,206.54895,205.16583,208.2882,204.46782,199.0077218,200.6675392
207.7746914,204.59564,203.3248,205.51242,203.6553,210.18605,205.15067,200.7364362,201.0186925
210.2132099,205.94888,205.02489,206.49634,204.77678,210.588,206.75601,201.8976349,201.3698457
215.1916049,210.44818,208.28412,209.96451,207.56229,214.46469,208.68143,202.4609515,201.720999
217.7490123,218.81856,217.39677,219.99669,215.26364,221.05219,214.63779,205.43715,202.0721523
219.6893827,220.7437,220.43108,222.31981,218.4089,220.30173,214.0253,206.307586,202.4233056
223.9080247,223.121,221.98946,223.68063,217.44835,222.78712,215.12044,205.8012404,202.7744589
222.4428395,223.61763,222.58682,223.40808,218.50319,229.1626,221.77168,207.8702897,203.1256122
218.1891358,215.73534,216.15947,215.7986,213.90076,223.49371,215.4831,206.0714351,203.4767654
202.714321,203.72292,206.1141,210.3143,208.11194,220.42757,210.60916,201.7954919,203.8279187
199.2080247,197.3456,200.3644,195.82745,196.07744,201.55228,190.00201,191.0573391,204.179072
199.2376543,198.74121,200.38983,198.62369,194.65195,207.75827,200.13873,190.6524551,204.5302253
211.8516049,205.39737,207.22856,205.25427,203.12416,209.96826,203.60023,197.6591808,204.8813786
212.1667901,214.02057,211.24171,217.31577,211.89218,216.84033,216.11725,209.1933912,205.2325319
209.2316049,211.03114,209.9594,214.1384,211.77246,211.97339,207.82709,208.7650645,205.5836852
194.5828395,198.32509,200.04535,206.6112,204.1171,199.61058,200.8132,198.92177,205.9348384
191.494321,189.53647,192.71407,183.93549,191.47604,191.68248,183.70294,185.9898658,206.2859917
191.5028395,192.0133,193.04305,187.57932,189.02838,196.79855,192.21875,184.7684561,206.637145
198.7382716,199.2744,198.84956,199.43196,197.89539,200.05786,196.2219,192.6688297,206.9882983
201.8434568,202.32767,201.55225,203.34338,200.67958,202.04007,199.08725,200.101588,207.3394516
204.9482716,206.0186,203.85033,204.65936,203.18683,205.08167,201.92389,202.0427978,207.6906049
210.4690123,204.18164,208.18118,200.65448,201.62471,208.07272,202.95764,199.365708,208.0417581
211.7608642,212.04071,213.36511,207.30742,207.78806,218.75366,211.23907,201.9660264,208.3929114
211.2401235,212.97278,211.49648,210.68378,207.74338,211.63991,207.37161,201.8433772,208.7440647
204.2574074,209.1486,209.94011,212.83902,208.09348,212.30952,206.06566,200.2803528,209.095218
203.5985185,201.05013,205.25015,202.01227,201.70462,205.35912,196.67812,194.5469657,209.4463713
204.6140741,203.56781,204.12088,199.49973,200.34993,210.51212,202.94926,194.768485,209.7975246
210.8314815,208.99512,210.91382,204.24963,203.54561,212.37949,205.73817,199.3145682,210.1486779
212.5503704,212.71785,212.72754,213.06738,208.99544,215.02313,211.60837,204.9498823,210.4998311
213.2981481,213.73146,213.91621,218.06438,212.11435,217.58879,209.74152,205.7380136,210.8509844
210.6037037,212.38489,213.77188,213.04155,213.02716,214.68637,208.57056,202.6594216,211.2021377
211.2625926,211.29129,210.9333,205.88135,211.08372,213.38368,205.3353,199.4818046,211.553291
212.8037037,213.30264,210.51488,207.81152,210.39407,215.92575,209.26291,199.8718958,211.9044443
217.8887654,215.92892,214.15306,210.6624,211.75032,218.12686,211.74512,203.1134782,212.2555976
219.1980247,218.9296,221.13855,216.69983,214.21059,223.86557,217.5449,207.1158741,212.6067508
219.3932099,217.68724,219.95789,216.94016,214.22711,222.70021,214.76227,207.4508937,212.9579041
214.882716,214.955,212.85083,216.27307,212.2246,221.1137,213.90503,204.9824318,213.3090574
215.5434568,210.89215,212.29108,212.39862,208.83878,219.91217,207.9832,200.8658746,213.6602107
217.7838272,217.25,217.1202,216.40868,210.27122,223.73856,214.18568,201.5609284,214.011364
225.9860494,224.0602,225.9096,222.54669,215.9953,226.75441,217.76987,205.8427809,214.3625173
228.0990123,230.96387,228.27382,229.44382,223.7882,231.3888,227.29962,212.0159763,214.7136706
228.5049383,230.89708,230.8717,230.37437,225.04395,230.24394,221.61823,212.3536553,215.0648238
227.0951852,224.31418,228.32039,228.94821,221.60022,229.2463,220.49066,208.3294971,215.4159771
224.1685185,223.09402,225.68266,226.14616,220.49673,231.55748,220.94447,205.9516258,215.7671304
219.6162963,218.13124,221.35445,219.42125,215.50995,226.49832,217.72574,203.8811842,216.1182837
207.8795062,215.12611,217.12112,215.8208,210.98285,225.12448,213.85889,202.4228661,216.469437
204.2454321,205.37341,207.24509,203.15187,201.0394,211.26314,198.41875,195.6310436,216.8205903
203.1550617,202.69214,204.31245,205.5268,201.06058,213.49951,204.49463,195.1859963,217.1717435
210.2671605,208.01228,203.20436,209.35715,206.01741,213.2571,205.45212,199.0932101,217.5228968
210.0201235,213.6636,217.13193,213.08856,210.2178,216.63231,212.9775,206.0369394,217.8740501
208.072716,210.36331,210.37917,208.01544,207.81708,210.84271,206.79195,205.6158379,218.2252034
200.4432099,203.90518,203.91254,202.82448,202.27753,208.93106,202.14984,199.4091672,218.5763567
198.081358,198.68733,199.97989,195.44989,197.18765,204.8347,194.05441,192.5588281,218.92751
197.0054321,197.66518,198.30539,195.27069,195.60898,203.5921,197.12227,191.3610734,219.2786633
198.93,199.30946,201.55109,197.05151,198.02435,204.98828,198.05008,194.716717,219.6298165
199.14,200.97366,204.6843,197.72662,198.78224,203.25089,198.24957,197.3189144,219.9809698
199.35,203.00023,201.62904,195.11746,199.26231,204.01083,198.54823,197.5046411,220.3321231
